attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment
Rejection Reason Description,Lý do từ chối hồ sơ,Text,true,false,draft,NHNCK.qlnhn.Applications.RejectionReason,"Prefix ""Rejection"" phân biệt với Reissue Reason."
Certificate Number,Số chứng chỉ được cấp (kết quả cuối),Text,true,false,draft,NHNCK.qlnhn.Applications.CertificateNumber,Denormalized từ CertificateRecords — output trực tiếp của hồ sơ.
Certificate Issue Date,Ngày cấp chứng chỉ,Date,true,false,draft,NHNCK.qlnhn.Applications.IssueDate,"BCV: ""Registration Documentation Issue Date"" (Documentation). Rút gọn."
Previous Certificate Number,Số chứng chỉ trước đó,Text,true,false,draft,NHNCK.qlnhn.Applications.PreviousCertificateNumber,"Đối xứng Certificate Number, prefix ""Previous""."
Previous Certificate Issue Date,Ngày cấp chứng chỉ trước đó,Date,true,false,draft,NHNCK.qlnhn.Applications.PreviousIssueDate,Đối xứng Certificate Issue Date.
Violation Indicator,Cờ vi phạm,Indicator,true,false,draft,NHNCK.qlnhn.Applications.IsViolated,Suffix Indicator theo Data Domain.
Date Exploitable Indicator,Cờ khai thác theo ngày,Indicator,true,false,draft,NHNCK.qlnhn.Applications.IsDateExploitable,Cần xác nhận ý nghĩa nghiệp vụ.
Certificate Receipt Method Code,Phương thức nhận chứng chỉ,Classification Value,true,false,draft,NHNCK.qlnhn.Applications.CertificateReceiptMethod,Scheme: CERTIFICATE_RECEIPT_METHOD.
Certificate Receipt Address,Địa chỉ nhận chứng chỉ,Text,true,false,draft,NHNCK.qlnhn.Applications.CertificateReceiptAddress,"Text tự do, không đủ cấu trúc tách Postal Address."
Certificate Receipt Phone Number,Số điện thoại nhận chứng chỉ,Text,true,false,draft,NHNCK.qlnhn.Applications.CertificateReceiptPhone,"Nhất quán prefix ""Certificate Receipt""."
Certificate Receipt Status Code,Trạng thái nhận chứng chỉ,Classification Value,true,false,draft,NHNCK.qlnhn.Applications.ReceiptStatus,Scheme: CERTIFICATE_RECEIPT_STATUS.
Reissue HSM Code,Mã tái cấp HSM,Text,true,false,draft,NHNCK.qlnhn.Applications.ReissueHSM,Giữ nguyên viết tắt HSM. Cần xác nhận ý nghĩa.
Note,Ghi chú hồ sơ,Text,true,false,draft,NHNCK.qlnhn.Applications.Note,
Assignee Officer Id,FK đến Regulatory Authority Officer — cán bộ xử lý hồ sơ,Surrogate Key,true,false,draft,NHNCK.qlnhn.Applications.AssigneeId,FK target: Regulatory Authority Officer.Officer Id. Pattern Id + Code.
Assignee Officer Code,Mã cán bộ xử lý hồ sơ,Text,true,false,draft,NHNCK.qlnhn.Applications.AssigneeId,FK target: Regulatory Authority Officer.Officer Code. Pair with Assignee Officer Id.
Created By Officer Id,FK đến Regulatory Authority Officer — người tạo hồ sơ,Surrogate Key,true,false,draft,NHNCK.qlnhn.Applications.CreatedBy,FK target: Regulatory Authority Officer.Officer Id. Pattern Id + Code.
Created By Officer Code,Mã người tạo hồ sơ,Text,true,false,draft,NHNCK.qlnhn.Applications.CreatedBy,FK target: Regulatory Authority Officer.Officer Code. Pair with Created By Officer Id.
Created Timestamp,Ngày tạo hồ sơ,Timestamp,true,false,draft,NHNCK.qlnhn.Applications.CreatedAt,
Updated By Officer Id,FK đến Regulatory Authority Officer — người cập nhật,Surrogate Key,true,false,draft,NHNCK.qlnhn.Applications.UpdatedBy,FK target: Regulatory Authority Officer.Officer Id. Pattern Id + Code.
Updated By Officer Code,Mã người cập nhật,Text,true,false,draft,NHNCK.qlnhn.Applications.UpdatedBy,FK target: Regulatory Authority Officer.Officer Code. Pair with Updated By Officer Id.
Updated Timestamp,Ngày cập nhật,Timestamp,true,false,draft,NHNCK.qlnhn.Applications.UpdatedAt,
