gold_entity,gold_attribute,data_domain,key,description,source_entity,source_attribute
Fact Penalty Decision,Violation Type Dimension Id,Surrogate Dimension Key,FK → Classification Dimension (scheme: TT_VIOLATION_TYPE),FK loại hành vi vi phạm — field Silver nguồn chưa xác định. Dùng chung scheme TT_VIOLATION_TYPE với Tab TT/KT — xem O_TT_8,Generated,ETL derived
Fact Penalty Decision,Penalty Decision Code,Text,DD,PK nguồn dùng làm degenerate key quyết định xử phạt. COUNT(DISTINCT) để đếm QĐ. ThanhTra.GS_VAN_BAN_XU_LY.ID,Surveillance Enforcement Decision,Surveillance Enforcement Decision Code
Fact Penalty Decision,Total Penalty Amount,Currency Amount,,Tổng tiền phạt (đơn vị VNĐ) — presentation layer chia /1_000_000_000 → tỷ VNĐ hoặc /1_000_000 → triệu VNĐ. ThanhTra.GS_VAN_BAN_XU_LY.TONG_SO_TIEN_PHAT,Surveillance Enforcement Decision,Total Penalty Amount
Fact Penalty Decision,Population Date,Timestamp,,ETL load timestamp,Generated,ETL derived
Calendar Date Dimension,Date Dimension Id,Surrogate Key,PK,Surrogate key lịch ngày,Generated,ETL derived
Calendar Date Dimension,Full Date,Date,,Ngày đầy đủ,Generated,ETL derived
Calendar Date Dimension,Year,Small Counter,,Năm,Generated,ETL derived
Calendar Date Dimension,Month,Small Counter,,Tháng (1–12),Generated,ETL derived
Calendar Date Dimension,Quarter,Small Counter,,Quý (1–4),Generated,ETL derived
Classification Dimension,Classification Dimension Id,Surrogate Key,PK,Surrogate key danh mục — unique per (Scheme + Code),Generated,ETL derived
Classification Dimension,Scheme,Text,,Mã scheme phân loại: TT_SUBJECT_CATEGORY / TT_PENALTY_SUBJECT_CATEGORY / TT_VIOLATION_TYPE / TT_PLAN_TYPE / TT_CASE_STATUS / TT_PETITION_TYPE / TT_PETITION_STATUS,Generated,ETL derived
Classification Dimension,Code,Text,,Mã giá trị trong scheme — ví dụ: CBTT / THAO_TUNG / HOAN_THANH,Generated,ETL derived
Classification Dimension,Name,Text,,Tên hiển thị tiếng Việt của giá trị,Generated,ETL derived
Inspection Case List,Inspection Case Code,Text,PK,PK bảng tác nghiệp — PK nguồn TT_HO_SO.ID. ThanhTra.TT_HO_SO.ID,Inspection Case,Inspection Case Code
Inspection Case List,Case Number,Text,,Mã hồ sơ nghiệp vụ hiển thị — ThanhTra.TT_HO_SO.MA_HO_SO,Inspection Case,Case Number
Inspection Case List,Display Name,Text,,"Tên hiển thị — ETL: COALESCE(TT_HO_SO.TEN_DOI_TUONG, TT_HO_SO.HO_TEN). TEN_DOI_TUONG cho tổ chức (Subject Organization Name); HO_TEN cho cá nhân (Subject Full Name). ThanhTra.TT_HO_SO",Generated,ETL derived
Inspection Case List,Subject Category Code,Classification Value,,Phân loại đối tượng — ETL-derived: đọc Inspection Decision Subject.Subject Reference Id (DOI_TUONG_REF_ID polymorphic) → resolve DM_CONG_TY_CK/QLQ/DC/DOI_TUONG_KHAC → derive code. scheme TT_SUBJECT_CATEGORY. xem O_TT_4,Generated,ETL derived
Inspection Case List,Inspection Type Code,Classification Value,,Loại hình THANH_TRA / KIEM_TRA — ThanhTra.TT_HO_SO.LOAI_HINH,Inspection Case,Inspection Type Code
Inspection Case List,Inspection Form Type Code,Text,,Loại hình đợt thanh tra: DINH_KY / DOT_XUAT — ETL-derived: Inspection Decision.Inspection Annual Plan Id (TT_QUYET_DINH.KE_HOACH_ID) IS NULL → DOT_XUAT; NOT NULL → DINH_KY,Generated,ETL derived
Inspection Case List,Case Status Code,Classification Value,,Trạng thái hồ sơ — ThanhTra.TT_HO_SO.TRANG_THAI_ID. scheme TT_CASE_STATUS,Inspection Case,Case Status Code
Inspection Case List,Received Date,Date,,Ngày nhận hồ sơ — ThanhTra.TT_HO_SO.NGAY_NHAN_HO_SO,Inspection Case,Received Date
Inspection Case List,Received Year,Small Counter,,Năm nhận hồ sơ — ETL: YEAR(NGAY_NHAN_HO_SO). Dùng index filter thay YEAR() function,Generated,ETL derived
Inspection Case List,Population Date,Timestamp,,ETL load timestamp,Generated,ETL derived
Penalty Decision List,Penalty Decision Code,Text,PK,PK bảng tác nghiệp — PK nguồn GS_VAN_BAN_XU_LY.ID. ThanhTra.GS_VAN_BAN_XU_LY.ID,Surveillance Enforcement Decision,Surveillance Enforcement Decision Code
Penalty Decision List,Penalty Decision Number,Text,,Số quyết định xử phạt / số công văn nhắc nhở — ThanhTra.GS_VAN_BAN_XU_LY.SO_QD_XU_PHAT,Surveillance Enforcement Decision,Penalty Decision Number
Penalty Decision List,Surveillance Case Code,Text,,Mã hồ sơ giám sát — ThanhTra.GS_HO_SO.MA_HO_SO,Surveillance Enforcement Case,Case Number
Penalty Decision List,Subject Name,Text,,Tên đối tượng vi phạm (denormalized) — ThanhTra.GS_HO_SO.TEN_DOI_TUONG,Surveillance Enforcement Case,Subject Name
Penalty Decision List,Penalty Subject Category Code,Classification Value,,"Phân loại đối tượng bị xử phạt — ETL-derived từ GS_HO_SO, field nguồn chưa xác định — scheme TT_PENALTY_SUBJECT_CATEGORY — xem O_TT_9",Generated,ETL derived
Penalty Decision List,Violation Type Code,Classification Value,,Loại hành vi vi phạm — scheme TT_VIOLATION_TYPE. field Silver nguồn chưa xác định — xem O_TT_8,Generated,ETL derived
Penalty Decision List,Decision Status Code,Classification Value,,Trạng thái quyết định — ThanhTra.GS_VAN_BAN_XU_LY.TRANG_THAI. scheme TT_CASE_STATUS,Surveillance Enforcement Decision,Decision Status Code
Penalty Decision List,Violation Report Date,Date,,Ngày ký biên bản vi phạm hành chính — ThanhTra.GS_VAN_BAN_XU_LY.NGAY_BIEN_BAN,Surveillance Enforcement Decision,Violation Report Date
Penalty Decision List,Violation Report Year,Small Counter,,Năm biên bản vi phạm — ETL: YEAR(NGAY_BIEN_BAN). Dùng index filter,Generated,ETL derived
Penalty Decision List,Total Penalty Amount,Currency Amount,,Tổng tiền phạt (VNĐ) — ThanhTra.GS_VAN_BAN_XU_LY.TONG_SO_TIEN_PHAT,Surveillance Enforcement Decision,Total Penalty Amount
Penalty Decision List,Population Date,Timestamp,,ETL load timestamp,Generated,ETL derived
Complaint Petition List,Complaint Petition Code,Text,PK,PK bảng tác nghiệp — PK nguồn DT_DON_THU.ID. ThanhTra.DT_DON_THU.ID,Complaint Petition,Complaint Petition Code
Complaint Petition List,Petition Type Code,Classification Value,,Loại đơn — ThanhTra.DT_DON_THU.LOAI_DON. scheme TT_PETITION_TYPE. ETL gộp PHAN_ANH+KIEN_NGHI → PHAN_ANH_KIEN_NGHI,Complaint Petition,Petition Type Code
Complaint Petition List,Complainant Name,Text,,Tên tổ chức/cá nhân gửi đơn (snapshot) — ThanhTra.DT_DON_THU.TEN_TO_CHUC_CA_NHAN,Complaint Petition,Complainant Name
Complaint Petition List,Petition Status Code,Classification Value,,Trạng thái đơn: MOI/DANG_XU_LY/HOAN_THANH/DONG — ThanhTra.DT_DON_THU.TRANG_THAI. scheme TT_PETITION_STATUS,Complaint Petition,Petition Status Code
Complaint Petition List,Submission Date,Date,,Ngày tiếp nhận đơn — ThanhTra.DT_DON_THU.NGAY_TIEP_NHAN,Complaint Petition,Submission Date
Complaint Petition List,Submission Year,Small Counter,,Năm tiếp nhận đơn — ETL: YEAR(NGAY_TIEP_NHAN). Dùng index filter thay YEAR() function,Generated,ETL derived
Complaint Petition List,Population Date,Timestamp,,ETL load timestamp,Generated,ETL derived
